Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;04001 Abla;Total Unión Europea;0
Ambos sexos;04001 Abla;Reino Unido;0
Ambos sexos;04001 Abla;Alemania;0
Ambos sexos;04001 Abla;Total Africa;2
Ambos sexos;04001 Abla;Marruecos;2
Ambos sexos;04001 Abla;Total América;3
Ambos sexos;04001 Abla;Colombia;0
Ambos sexos;04001 Abla;Ecuador;2
Ambos sexos;04001 Abla;Total Asia;0
Ambos sexos;04001 Abla;Resto;0
Ambos sexos;04002 Abrucena;Total Unión Europea;1
Ambos sexos;04002 Abrucena;Reino Unido;0
Ambos sexos;04002 Abrucena;Alemania;1
Ambos sexos;04002 Abrucena;Total Africa;0
Ambos sexos;04002 Abrucena;Marruecos;0
Ambos sexos;04002 Abrucena;Total América;0
Ambos sexos;04002 Abrucena;Colombia;0
Ambos sexos;04002 Abrucena;Ecuador;0
Ambos sexos;04002 Abrucena;Total Asia;0
Ambos sexos;04002 Abrucena;Resto;0
Ambos sexos;04003 Adra;Total Unión Europea;74
Ambos sexos;04003 Adra;Reino Unido;16
Ambos sexos;04003 Adra;Alemania;30
Ambos sexos;04003 Adra;Total Africa;459
Ambos sexos;04003 Adra;Marruecos;443
Ambos sexos;04003 Adra;Total América;72
Ambos sexos;04003 Adra;Colombia;10
Ambos sexos;04003 Adra;Ecuador;5
Ambos sexos;04003 Adra;Total Asia;13
Ambos sexos;04003 Adra;Resto;0
Ambos sexos;04004 Albánchez;Total Unión Europea;16
Ambos sexos;04004 Albánchez;Reino Unido;15
Ambos sexos;04004 Albánchez;Alemania;0
Ambos sexos;04004 Albánchez;Total Africa;0
Ambos sexos;04004 Albánchez;Marruecos;0
Ambos sexos;04004 Albánchez;Total América;1
Ambos sexos;04004 Albánchez;Colombia;0
Ambos sexos;04004 Albánchez;Ecuador;0
Ambos sexos;04004 Albánchez;Total Asia;0
Ambos sexos;04004 Albánchez;Resto;0
Ambos sexos;04005 Alboloduy;Total Unión Europea;4
Ambos sexos;04005 Alboloduy;Reino Unido;0
Ambos sexos;04005 Alboloduy;Alemania;1
Ambos sexos;04005 Alboloduy;Total Africa;0
Ambos sexos;04005 Alboloduy;Marruecos;0
Ambos sexos;04005 Alboloduy;Total América;0
Ambos sexos;04005 Alboloduy;Colombia;0
Ambos sexos;04005 Alboloduy;Ecuador;0
Ambos sexos;04005 Alboloduy;Total Asia;0
Ambos sexos;04005 Alboloduy;Resto;0
Ambos sexos;04006 Albox;Total Unión Europea;195
Ambos sexos;04006 Albox;Reino Unido;169
Ambos sexos;04006 Albox;Alemania;6
Ambos sexos;04006 Albox;Total Africa;4
Ambos sexos;04006 Albox;Marruecos;3
Ambos sexos;04006 Albox;Total América;149
Ambos sexos;04006 Albox;Colombia;7
Ambos sexos;04006 Albox;Ecuador;90
Ambos sexos;04006 Albox;Total Asia;328
Ambos sexos;04006 Albox;Resto;0
Ambos sexos;04007 Alcolea;Total Unión Europea;1
Ambos sexos;04007 Alcolea;Reino Unido;0
Ambos sexos;04007 Alcolea;Alemania;1
Ambos sexos;04007 Alcolea;Total Africa;0
Ambos sexos;04007 Alcolea;Marruecos;0
Ambos sexos;04007 Alcolea;Total América;4
Ambos sexos;04007 Alcolea;Colombia;0
Ambos sexos;04007 Alcolea;Ecuador;3
Ambos sexos;04007 Alcolea;Total Asia;0
Ambos sexos;04007 Alcolea;Resto;0
Ambos sexos;04008 Alcóntar;Total Unión Europea;0
Ambos sexos;04008 Alcóntar;Reino Unido;0
Ambos sexos;04008 Alcóntar;Alemania;0
Ambos sexos;04008 Alcóntar;Total Africa;0
Ambos sexos;04008 Alcóntar;Marruecos;0
Ambos sexos;04008 Alcóntar;Total América;1
Ambos sexos;04008 Alcóntar;Colombia;0
Ambos sexos;04008 Alcóntar;Ecuador;0
Ambos sexos;04008 Alcóntar;Total Asia;0
Ambos sexos;04008 Alcóntar;Resto;0
Ambos sexos;04009 Alcudia de Monteagud;Total Unión Europea;0
Ambos sexos;04009 Alcudia de Monteagud;Reino Unido;0
Ambos sexos;04009 Alcudia de Monteagud;Alemania;0
Ambos sexos;04009 Alcudia de Monteagud;Total Africa;0
Ambos sexos;04009 Alcudia de Monteagud;Marruecos;0
Ambos sexos;04009 Alcudia de Monteagud;Total América;0
Ambos sexos;04009 Alcudia de Monteagud;Colombia;0
Ambos sexos;04009 Alcudia de Monteagud;Ecuador;0
Ambos sexos;04009 Alcudia de Monteagud;Total Asia;0
Ambos sexos;04009 Alcudia de Monteagud;Resto;0
Ambos sexos;04010 Alhabia;Total Unión Europea;1
Ambos sexos;04010 Alhabia;Reino Unido;0
Ambos sexos;04010 Alhabia;Alemania;0
Ambos sexos;04010 Alhabia;Total Africa;0
Ambos sexos;04010 Alhabia;Marruecos;0
Ambos sexos;04010 Alhabia;Total América;0
Ambos sexos;04010 Alhabia;Colombia;0
Ambos sexos;04010 Alhabia;Ecuador;0
Ambos sexos;04010 Alhabia;Total Asia;0
Ambos sexos;04010 Alhabia;Resto;0
Ambos sexos;04011 Alhama de Almería;Total Unión Europea;12
Ambos sexos;04011 Alhama de Almería;Reino Unido;0
Ambos sexos;04011 Alhama de Almería;Alemania;3
Ambos sexos;04011 Alhama de Almería;Total Africa;2
Ambos sexos;04011 Alhama de Almería;Marruecos;2
Ambos sexos;04011 Alhama de Almería;Total América;15
Ambos sexos;04011 Alhama de Almería;Colombia;0
Ambos sexos;04011 Alhama de Almería;Ecuador;0
Ambos sexos;04011 Alhama de Almería;Total Asia;1
Ambos sexos;04011 Alhama de Almería;Resto;0
Ambos sexos;04012 Alicún;Total Unión Europea;2
Ambos sexos;04012 Alicún;Reino Unido;0
Ambos sexos;04012 Alicún;Alemania;0
Ambos sexos;04012 Alicún;Total Africa;0
Ambos sexos;04012 Alicún;Marruecos;0
Ambos sexos;04012 Alicún;Total América;0
Ambos sexos;04012 Alicún;Colombia;0
Ambos sexos;04012 Alicún;Ecuador;0
Ambos sexos;04012 Alicún;Total Asia;0
Ambos sexos;04012 Alicún;Resto;0
Ambos sexos;04013 Almería;Total Unión Europea;563
Ambos sexos;04013 Almería;Reino Unido;107
Ambos sexos;04013 Almería;Alemania;91
Ambos sexos;04013 Almería;Total Africa;2329
Ambos sexos;04013 Almería;Marruecos;2083
Ambos sexos;04013 Almería;Total América;2139
Ambos sexos;04013 Almería;Colombia;651
Ambos sexos;04013 Almería;Ecuador;594
Ambos sexos;04013 Almería;Total Asia;339
Ambos sexos;04013 Almería;Resto;5
Ambos sexos;04014 Almócita;Total Unión Europea;0
Ambos sexos;04014 Almócita;Reino Unido;0
Ambos sexos;04014 Almócita;Alemania;0
Ambos sexos;04014 Almócita;Total Africa;0
Ambos sexos;04014 Almócita;Marruecos;0
Ambos sexos;04014 Almócita;Total América;0
Ambos sexos;04014 Almócita;Colombia;0
Ambos sexos;04014 Almócita;Ecuador;0
Ambos sexos;04014 Almócita;Total Asia;0
Ambos sexos;04014 Almócita;Resto;0
Ambos sexos;04015 Alsodux;Total Unión Europea;2
Ambos sexos;04015 Alsodux;Reino Unido;0
Ambos sexos;04015 Alsodux;Alemania;0
Ambos sexos;04015 Alsodux;Total Africa;0
Ambos sexos;04015 Alsodux;Marruecos;0
Ambos sexos;04015 Alsodux;Total América;0
Ambos sexos;04015 Alsodux;Colombia;0
Ambos sexos;04015 Alsodux;Ecuador;0
Ambos sexos;04015 Alsodux;Total Asia;0
Ambos sexos;04015 Alsodux;Resto;0
Ambos sexos;04016 Antas;Total Unión Europea;32
Ambos sexos;04016 Antas;Reino Unido;24
Ambos sexos;04016 Antas;Alemania;5
Ambos sexos;04016 Antas;Total Africa;23
Ambos sexos;04016 Antas;Marruecos;22
Ambos sexos;04016 Antas;Total América;132
Ambos sexos;04016 Antas;Colombia;0
Ambos sexos;04016 Antas;Ecuador;111
Ambos sexos;04016 Antas;Total Asia;0
Ambos sexos;04016 Antas;Resto;0
Ambos sexos;04017 Arboleas;Total Unión Europea;196
Ambos sexos;04017 Arboleas;Reino Unido;183
Ambos sexos;04017 Arboleas;Alemania;4
Ambos sexos;04017 Arboleas;Total Africa;1
Ambos sexos;04017 Arboleas;Marruecos;0
Ambos sexos;04017 Arboleas;Total América;27
Ambos sexos;04017 Arboleas;Colombia;1
Ambos sexos;04017 Arboleas;Ecuador;0
Ambos sexos;04017 Arboleas;Total Asia;0
Ambos sexos;04017 Arboleas;Resto;0
Ambos sexos;04018 Armuña de Almanzora;Total Unión Europea;0
Ambos sexos;04018 Armuña de Almanzora;Reino Unido;0
Ambos sexos;04018 Armuña de Almanzora;Alemania;0
Ambos sexos;04018 Armuña de Almanzora;Total Africa;0
Ambos sexos;04018 Armuña de Almanzora;Marruecos;0
Ambos sexos;04018 Armuña de Almanzora;Total América;0
Ambos sexos;04018 Armuña de Almanzora;Colombia;0
Ambos sexos;04018 Armuña de Almanzora;Ecuador;0
Ambos sexos;04018 Armuña de Almanzora;Total Asia;0
Ambos sexos;04018 Armuña de Almanzora;Resto;0
Ambos sexos;04019 Bacares;Total Unión Europea;1
Ambos sexos;04019 Bacares;Reino Unido;0
Ambos sexos;04019 Bacares;Alemania;0
Ambos sexos;04019 Bacares;Total Africa;0
Ambos sexos;04019 Bacares;Marruecos;0
Ambos sexos;04019 Bacares;Total América;0
Ambos sexos;04019 Bacares;Colombia;0
Ambos sexos;04019 Bacares;Ecuador;0
Ambos sexos;04019 Bacares;Total Asia;0
Ambos sexos;04019 Bacares;Resto;0
Ambos sexos;04020 Bayárcal;Total Unión Europea;0
Ambos sexos;04020 Bayárcal;Reino Unido;0
Ambos sexos;04020 Bayárcal;Alemania;0
Ambos sexos;04020 Bayárcal;Total Africa;0
Ambos sexos;04020 Bayárcal;Marruecos;0
Ambos sexos;04020 Bayárcal;Total América;0
Ambos sexos;04020 Bayárcal;Colombia;0
Ambos sexos;04020 Bayárcal;Ecuador;0
Ambos sexos;04020 Bayárcal;Total Asia;0
Ambos sexos;04020 Bayárcal;Resto;0
Ambos sexos;04021 Bayarque;Total Unión Europea;0
Ambos sexos;04021 Bayarque;Reino Unido;0
Ambos sexos;04021 Bayarque;Alemania;0
Ambos sexos;04021 Bayarque;Total Africa;0
Ambos sexos;04021 Bayarque;Marruecos;0
Ambos sexos;04021 Bayarque;Total América;0
Ambos sexos;04021 Bayarque;Colombia;0
Ambos sexos;04021 Bayarque;Ecuador;0
Ambos sexos;04021 Bayarque;Total Asia;0
Ambos sexos;04021 Bayarque;Resto;0
Ambos sexos;04022 Bédar;Total Unión Europea;202
Ambos sexos;04022 Bédar;Reino Unido;151
Ambos sexos;04022 Bédar;Alemania;28
Ambos sexos;04022 Bédar;Total Africa;1
Ambos sexos;04022 Bédar;Marruecos;0
Ambos sexos;04022 Bédar;Total América;4
Ambos sexos;04022 Bédar;Colombia;0
Ambos sexos;04022 Bédar;Ecuador;2
Ambos sexos;04022 Bédar;Total Asia;3
Ambos sexos;04022 Bédar;Resto;2
Ambos sexos;04023 Beires;Total Unión Europea;0
Ambos sexos;04023 Beires;Reino Unido;0
Ambos sexos;04023 Beires;Alemania;0
Ambos sexos;04023 Beires;Total Africa;0
Ambos sexos;04023 Beires;Marruecos;0
Ambos sexos;04023 Beires;Total América;0
Ambos sexos;04023 Beires;Colombia;0
Ambos sexos;04023 Beires;Ecuador;0
Ambos sexos;04023 Beires;Total Asia;0
Ambos sexos;04023 Beires;Resto;0
Ambos sexos;04024 Benahadux;Total Unión Europea;8
Ambos sexos;04024 Benahadux;Reino Unido;0
Ambos sexos;04024 Benahadux;Alemania;0
Ambos sexos;04024 Benahadux;Total Africa;2
Ambos sexos;04024 Benahadux;Marruecos;1
Ambos sexos;04024 Benahadux;Total América;11
Ambos sexos;04024 Benahadux;Colombia;0
Ambos sexos;04024 Benahadux;Ecuador;2
Ambos sexos;04024 Benahadux;Total Asia;0
Ambos sexos;04024 Benahadux;Resto;0
Ambos sexos;04026 Benitagla;Total Unión Europea;0
Ambos sexos;04026 Benitagla;Reino Unido;0
Ambos sexos;04026 Benitagla;Alemania;0
Ambos sexos;04026 Benitagla;Total Africa;0
Ambos sexos;04026 Benitagla;Marruecos;0
Ambos sexos;04026 Benitagla;Total América;0
Ambos sexos;04026 Benitagla;Colombia;0
Ambos sexos;04026 Benitagla;Ecuador;0
Ambos sexos;04026 Benitagla;Total Asia;0
Ambos sexos;04026 Benitagla;Resto;0
Ambos sexos;04027 Benizalón;Total Unión Europea;2
Ambos sexos;04027 Benizalón;Reino Unido;0
Ambos sexos;04027 Benizalón;Alemania;0
Ambos sexos;04027 Benizalón;Total Africa;0
Ambos sexos;04027 Benizalón;Marruecos;0
Ambos sexos;04027 Benizalón;Total América;4
Ambos sexos;04027 Benizalón;Colombia;2
Ambos sexos;04027 Benizalón;Ecuador;2
Ambos sexos;04027 Benizalón;Total Asia;0
Ambos sexos;04027 Benizalón;Resto;0
Ambos sexos;04028 Bentarique;Total Unión Europea;0
Ambos sexos;04028 Bentarique;Reino Unido;0
Ambos sexos;04028 Bentarique;Alemania;0
Ambos sexos;04028 Bentarique;Total Africa;0
Ambos sexos;04028 Bentarique;Marruecos;0
Ambos sexos;04028 Bentarique;Total América;0
Ambos sexos;04028 Bentarique;Colombia;0
Ambos sexos;04028 Bentarique;Ecuador;0
Ambos sexos;04028 Bentarique;Total Asia;0
Ambos sexos;04028 Bentarique;Resto;0
Ambos sexos;04029 Berja;Total Unión Europea;47
Ambos sexos;04029 Berja;Reino Unido;9
Ambos sexos;04029 Berja;Alemania;8
Ambos sexos;04029 Berja;Total Africa;184
Ambos sexos;04029 Berja;Marruecos;178
Ambos sexos;04029 Berja;Total América;51
Ambos sexos;04029 Berja;Colombia;9
Ambos sexos;04029 Berja;Ecuador;10
Ambos sexos;04029 Berja;Total Asia;3
Ambos sexos;04029 Berja;Resto;1
Ambos sexos;04030 Canjáyar;Total Unión Europea;1
Ambos sexos;04030 Canjáyar;Reino Unido;0
Ambos sexos;04030 Canjáyar;Alemania;1
Ambos sexos;04030 Canjáyar;Total Africa;0
Ambos sexos;04030 Canjáyar;Marruecos;0
Ambos sexos;04030 Canjáyar;Total América;0
Ambos sexos;04030 Canjáyar;Colombia;0
Ambos sexos;04030 Canjáyar;Ecuador;0
Ambos sexos;04030 Canjáyar;Total Asia;0
Ambos sexos;04030 Canjáyar;Resto;0
Ambos sexos;04031 Cantoria;Total Unión Europea;110
Ambos sexos;04031 Cantoria;Reino Unido;93
Ambos sexos;04031 Cantoria;Alemania;5
Ambos sexos;04031 Cantoria;Total Africa;2
Ambos sexos;04031 Cantoria;Marruecos;0
Ambos sexos;04031 Cantoria;Total América;23
Ambos sexos;04031 Cantoria;Colombia;7
Ambos sexos;04031 Cantoria;Ecuador;9
Ambos sexos;04031 Cantoria;Total Asia;2
Ambos sexos;04031 Cantoria;Resto;1
Ambos sexos;04032 Carboneras;Total Unión Europea;112
Ambos sexos;04032 Carboneras;Reino Unido;39
Ambos sexos;04032 Carboneras;Alemania;18
Ambos sexos;04032 Carboneras;Total Africa;102
Ambos sexos;04032 Carboneras;Marruecos;79
Ambos sexos;04032 Carboneras;Total América;30
Ambos sexos;04032 Carboneras;Colombia;3
Ambos sexos;04032 Carboneras;Ecuador;21
Ambos sexos;04032 Carboneras;Total Asia;1
Ambos sexos;04032 Carboneras;Resto;0
Ambos sexos;04033 Castro de Filabres;Total Unión Europea;0
Ambos sexos;04033 Castro de Filabres;Reino Unido;0
Ambos sexos;04033 Castro de Filabres;Alemania;0
Ambos sexos;04033 Castro de Filabres;Total Africa;0
Ambos sexos;04033 Castro de Filabres;Marruecos;0
Ambos sexos;04033 Castro de Filabres;Total América;0
Ambos sexos;04033 Castro de Filabres;Colombia;0
Ambos sexos;04033 Castro de Filabres;Ecuador;0
Ambos sexos;04033 Castro de Filabres;Total Asia;0
Ambos sexos;04033 Castro de Filabres;Resto;0
Ambos sexos;04034 Cóbdar;Total Unión Europea;1
Ambos sexos;04034 Cóbdar;Reino Unido;0
Ambos sexos;04034 Cóbdar;Alemania;1
Ambos sexos;04034 Cóbdar;Total Africa;1
Ambos sexos;04034 Cóbdar;Marruecos;0
Ambos sexos;04034 Cóbdar;Total América;8
Ambos sexos;04034 Cóbdar;Colombia;0
Ambos sexos;04034 Cóbdar;Ecuador;7
Ambos sexos;04034 Cóbdar;Total Asia;0
Ambos sexos;04034 Cóbdar;Resto;0
Ambos sexos;04035 Cuevas del Almanzora;Total Unión Europea;160
Ambos sexos;04035 Cuevas del Almanzora;Reino Unido;75
Ambos sexos;04035 Cuevas del Almanzora;Alemania;21
Ambos sexos;04035 Cuevas del Almanzora;Total Africa;120
Ambos sexos;04035 Cuevas del Almanzora;Marruecos;91
Ambos sexos;04035 Cuevas del Almanzora;Total América;550
Ambos sexos;04035 Cuevas del Almanzora;Colombia;18
Ambos sexos;04035 Cuevas del Almanzora;Ecuador;515
Ambos sexos;04035 Cuevas del Almanzora;Total Asia;2
Ambos sexos;04035 Cuevas del Almanzora;Resto;0
Ambos sexos;04036 Chercos;Total Unión Europea;0
Ambos sexos;04036 Chercos;Reino Unido;0
Ambos sexos;04036 Chercos;Alemania;0
Ambos sexos;04036 Chercos;Total Africa;0
Ambos sexos;04036 Chercos;Marruecos;0
Ambos sexos;04036 Chercos;Total América;0
Ambos sexos;04036 Chercos;Colombia;0
Ambos sexos;04036 Chercos;Ecuador;0
Ambos sexos;04036 Chercos;Total Asia;0
Ambos sexos;04036 Chercos;Resto;0
Ambos sexos;04037 Chirivel;Total Unión Europea;13
Ambos sexos;04037 Chirivel;Reino Unido;6
Ambos sexos;04037 Chirivel;Alemania;1
Ambos sexos;04037 Chirivel;Total Africa;0
Ambos sexos;04037 Chirivel;Marruecos;0
Ambos sexos;04037 Chirivel;Total América;1
Ambos sexos;04037 Chirivel;Colombia;0
Ambos sexos;04037 Chirivel;Ecuador;1
Ambos sexos;04037 Chirivel;Total Asia;0
Ambos sexos;04037 Chirivel;Resto;0
Ambos sexos;04038 Dalías;Total Unión Europea;3
Ambos sexos;04038 Dalías;Reino Unido;1
Ambos sexos;04038 Dalías;Alemania;0
Ambos sexos;04038 Dalías;Total Africa;39
Ambos sexos;04038 Dalías;Marruecos;39
Ambos sexos;04038 Dalías;Total América;4
Ambos sexos;04038 Dalías;Colombia;1
Ambos sexos;04038 Dalías;Ecuador;0
Ambos sexos;04038 Dalías;Total Asia;0
Ambos sexos;04038 Dalías;Resto;0
Ambos sexos;04041 Enix;Total Unión Europea;14
Ambos sexos;04041 Enix;Reino Unido;7
Ambos sexos;04041 Enix;Alemania;4
Ambos sexos;04041 Enix;Total Africa;0
Ambos sexos;04041 Enix;Marruecos;0
Ambos sexos;04041 Enix;Total América;4
Ambos sexos;04041 Enix;Colombia;2
Ambos sexos;04041 Enix;Ecuador;0
Ambos sexos;04041 Enix;Total Asia;0
Ambos sexos;04041 Enix;Resto;0
Ambos sexos;04043 Felix;Total Unión Europea;14
Ambos sexos;04043 Felix;Reino Unido;5
Ambos sexos;04043 Felix;Alemania;7
Ambos sexos;04043 Felix;Total Africa;0
Ambos sexos;04043 Felix;Marruecos;0
Ambos sexos;04043 Felix;Total América;1
Ambos sexos;04043 Felix;Colombia;0
Ambos sexos;04043 Felix;Ecuador;0
Ambos sexos;04043 Felix;Total Asia;0
Ambos sexos;04043 Felix;Resto;0
Ambos sexos;04044 Fines;Total Unión Europea;7
Ambos sexos;04044 Fines;Reino Unido;2
Ambos sexos;04044 Fines;Alemania;4
Ambos sexos;04044 Fines;Total Africa;37
Ambos sexos;04044 Fines;Marruecos;31
Ambos sexos;04044 Fines;Total América;43
Ambos sexos;04044 Fines;Colombia;24
Ambos sexos;04044 Fines;Ecuador;13
Ambos sexos;04044 Fines;Total Asia;1
Ambos sexos;04044 Fines;Resto;0
Ambos sexos;04045 Fiñana;Total Unión Europea;1
Ambos sexos;04045 Fiñana;Reino Unido;0
Ambos sexos;04045 Fiñana;Alemania;0
Ambos sexos;04045 Fiñana;Total Africa;0
Ambos sexos;04045 Fiñana;Marruecos;0
Ambos sexos;04045 Fiñana;Total América;0
Ambos sexos;04045 Fiñana;Colombia;0
Ambos sexos;04045 Fiñana;Ecuador;0
Ambos sexos;04045 Fiñana;Total Asia;0
Ambos sexos;04045 Fiñana;Resto;0
Ambos sexos;04046 Fondón;Total Unión Europea;1
Ambos sexos;04046 Fondón;Reino Unido;0
Ambos sexos;04046 Fondón;Alemania;0
Ambos sexos;04046 Fondón;Total Africa;0
Ambos sexos;04046 Fondón;Marruecos;0
Ambos sexos;04046 Fondón;Total América;1
Ambos sexos;04046 Fondón;Colombia;0
Ambos sexos;04046 Fondón;Ecuador;0
Ambos sexos;04046 Fondón;Total Asia;0
Ambos sexos;04046 Fondón;Resto;0
Ambos sexos;04047 Gádor;Total Unión Europea;9
Ambos sexos;04047 Gádor;Reino Unido;3
Ambos sexos;04047 Gádor;Alemania;2
Ambos sexos;04047 Gádor;Total Africa;2
Ambos sexos;04047 Gádor;Marruecos;2
Ambos sexos;04047 Gádor;Total América;5
Ambos sexos;04047 Gádor;Colombia;0
Ambos sexos;04047 Gádor;Ecuador;0
Ambos sexos;04047 Gádor;Total Asia;0
Ambos sexos;04047 Gádor;Resto;0
Ambos sexos;04048 Gallardos (Los);Total Unión Europea;195
Ambos sexos;04048 Gallardos (Los);Reino Unido;147
Ambos sexos;04048 Gallardos (Los);Alemania;10
Ambos sexos;04048 Gallardos (Los);Total Africa;9
Ambos sexos;04048 Gallardos (Los);Marruecos;9
Ambos sexos;04048 Gallardos (Los);Total América;110
Ambos sexos;04048 Gallardos (Los);Colombia;3
Ambos sexos;04048 Gallardos (Los);Ecuador;103
Ambos sexos;04048 Gallardos (Los);Total Asia;1
Ambos sexos;04048 Gallardos (Los);Resto;0
Ambos sexos;04049 Garrucha;Total Unión Europea;125
Ambos sexos;04049 Garrucha;Reino Unido;53
Ambos sexos;04049 Garrucha;Alemania;14
Ambos sexos;04049 Garrucha;Total Africa;72
Ambos sexos;04049 Garrucha;Marruecos;58
Ambos sexos;04049 Garrucha;Total América;167
Ambos sexos;04049 Garrucha;Colombia;79
Ambos sexos;04049 Garrucha;Ecuador;38
Ambos sexos;04049 Garrucha;Total Asia;17
Ambos sexos;04049 Garrucha;Resto;0
Ambos sexos;04050 Gérgal;Total Unión Europea;1
Ambos sexos;04050 Gérgal;Reino Unido;0
Ambos sexos;04050 Gérgal;Alemania;1
Ambos sexos;04050 Gérgal;Total Africa;0
Ambos sexos;04050 Gérgal;Marruecos;0
Ambos sexos;04050 Gérgal;Total América;5
Ambos sexos;04050 Gérgal;Colombia;3
Ambos sexos;04050 Gérgal;Ecuador;2
Ambos sexos;04050 Gérgal;Total Asia;0
Ambos sexos;04050 Gérgal;Resto;0
Ambos sexos;04051 Huécija;Total Unión Europea;0
Ambos sexos;04051 Huécija;Reino Unido;0
Ambos sexos;04051 Huécija;Alemania;0
Ambos sexos;04051 Huécija;Total Africa;0
Ambos sexos;04051 Huécija;Marruecos;0
Ambos sexos;04051 Huécija;Total América;0
Ambos sexos;04051 Huécija;Colombia;0
Ambos sexos;04051 Huécija;Ecuador;0
Ambos sexos;04051 Huécija;Total Asia;0
Ambos sexos;04051 Huécija;Resto;0
Ambos sexos;04052 Huércal de Almería;Total Unión Europea;16
Ambos sexos;04052 Huércal de Almería;Reino Unido;0
Ambos sexos;04052 Huércal de Almería;Alemania;9
Ambos sexos;04052 Huércal de Almería;Total Africa;15
Ambos sexos;04052 Huércal de Almería;Marruecos;5
Ambos sexos;04052 Huércal de Almería;Total América;38
Ambos sexos;04052 Huércal de Almería;Colombia;12
Ambos sexos;04052 Huércal de Almería;Ecuador;8
Ambos sexos;04052 Huércal de Almería;Total Asia;6
Ambos sexos;04052 Huércal de Almería;Resto;0
Ambos sexos;04053 Huércal-Overa;Total Unión Europea;123
Ambos sexos;04053 Huércal-Overa;Reino Unido;75
Ambos sexos;04053 Huércal-Overa;Alemania;10
Ambos sexos;04053 Huércal-Overa;Total Africa;31
Ambos sexos;04053 Huércal-Overa;Marruecos;16
Ambos sexos;04053 Huércal-Overa;Total América;370
Ambos sexos;04053 Huércal-Overa;Colombia;181
Ambos sexos;04053 Huércal-Overa;Ecuador;111
Ambos sexos;04053 Huércal-Overa;Total Asia;18
Ambos sexos;04053 Huércal-Overa;Resto;0
Ambos sexos;04054 Illar;Total Unión Europea;0
Ambos sexos;04054 Illar;Reino Unido;0
Ambos sexos;04054 Illar;Alemania;0
Ambos sexos;04054 Illar;Total Africa;1
Ambos sexos;04054 Illar;Marruecos;1
Ambos sexos;04054 Illar;Total América;0
Ambos sexos;04054 Illar;Colombia;0
Ambos sexos;04054 Illar;Ecuador;0
Ambos sexos;04054 Illar;Total Asia;0
Ambos sexos;04054 Illar;Resto;0
Ambos sexos;04055 Instinción;Total Unión Europea;0
Ambos sexos;04055 Instinción;Reino Unido;0
Ambos sexos;04055 Instinción;Alemania;0
Ambos sexos;04055 Instinción;Total Africa;0
Ambos sexos;04055 Instinción;Marruecos;0
Ambos sexos;04055 Instinción;Total América;0
Ambos sexos;04055 Instinción;Colombia;0
Ambos sexos;04055 Instinción;Ecuador;0
Ambos sexos;04055 Instinción;Total Asia;0
Ambos sexos;04055 Instinción;Resto;0
