Provincia,Nacionalidad,Año,Total
Almería,Total,2019,6812.0
Almería,Total,2018,7234.0
Almería,Total,2017,6900.0
Almería,Total,2016,6202.0
Almería,Total,2015,4944.0
Almería,Total,2014,4763.0
Almería,Total,2013,4766.0
Almería,España,2019,4542.0
Almería,España,2018,4923.0
Almería,España,2017,4911.0
Almería,España,2016,4312.0
Almería,España,2015,3433.0
Almería,España,2014,3273.0
Almería,España,2013,3154.0
Almería,Unión Europea,2019,649.0
Almería,Unión Europea,2018,725.0
Almería,Unión Europea,2017,630.0
Almería,Unión Europea,2016,654.0
Almería,Unión Europea,2015,538.0
Almería,Unión Europea,2014,517.0
Almería,Unión Europea,2013,508.0
Almería,Resto de Europa,2019,104.0
Almería,Resto de Europa,2018,71.0
Almería,Resto de Europa,2017,119.0
Almería,Resto de Europa,2016,56.0
Almería,Resto de Europa,2015,53.0
Almería,Resto de Europa,2014,41.0
Almería,Resto de Europa,2013,24.0
Almería,África,2019,1187.0
Almería,África,2018,1168.0
Almería,África,2017,994.0
Almería,África,2016,924.0
Almería,África,2015,671.0
Almería,África,2014,680.0
Almería,África,2013,773.0
Almería,América,2019,324.0
Almería,América,2018,327.0
Almería,América,2017,221.0
Almería,América,2016,242.0
Almería,América,2015,241.0
Almería,América,2014,236.0
Almería,América,2013,293.0
Almería,Asia,2019,6.0
Almería,Asia,2018,20.0
Almería,Asia,2017,25.0
Almería,Asia,2016,15.0
Almería,Asia,2015,7.0
Almería,Asia,2014,16.0
Almería,Asia,2013,12.0
Almería,Oceanía,2019,0.0
Almería,Oceanía,2018,0.0
Almería,Oceanía,2017,0.0
Almería,Oceanía,2016,0.0
Almería,Oceanía,2015,1.0
Almería,Oceanía,2014,0.0
Almería,Oceanía,2013,2.0
Cádiz,Total,2019,12585.0
Cádiz,Total,2018,13267.0
Cádiz,Total,2017,12998.0
Cádiz,Total,2016,12401.0
Cádiz,Total,2015,10292.0
Cádiz,Total,2014,10221.0
Cádiz,Total,2013,10652.0
Cádiz,España,2019,11280.0
Cádiz,España,2018,11940.0
Cádiz,España,2017,11765.0
Cádiz,España,2016,11005.0
Cádiz,España,2015,9003.0
Cádiz,España,2014,8812.0
Cádiz,España,2013,9032.0
Cádiz,Unión Europea,2019,344.0
Cádiz,Unión Europea,2018,415.0
Cádiz,Unión Europea,2017,320.0
Cádiz,Unión Europea,2016,399.0
Cádiz,Unión Europea,2015,317.0
Cádiz,Unión Europea,2014,397.0
Cádiz,Unión Europea,2013,540.0
Cádiz,Resto de Europa,2019,24.0
Cádiz,Resto de Europa,2018,24.0
Cádiz,Resto de Europa,2017,23.0
Cádiz,Resto de Europa,2016,7.0
Cádiz,Resto de Europa,2015,23.0
Cádiz,Resto de Europa,2014,20.0
Cádiz,Resto de Europa,2013,10.0
Cádiz,África,2019,732.0
Cádiz,África,2018,707.0
Cádiz,África,2017,700.0
Cádiz,África,2016,782.0
Cádiz,África,2015,764.0
Cádiz,África,2014,790.0
Cádiz,África,2013,861.0
Cádiz,América,2019,192.0
Cádiz,América,2018,163.0
Cádiz,América,2017,167.0
Cádiz,América,2016,163.0
Cádiz,América,2015,171.0
Cádiz,América,2014,187.0
Cádiz,América,2013,194.0
Cádiz,Asia,2019,11.0
Cádiz,Asia,2018,19.0
Cádiz,Asia,2017,23.0
Cádiz,Asia,2016,37.0
Cádiz,Asia,2015,13.0
Cádiz,Asia,2014,14.0
Cádiz,Asia,2013,13.0
Cádiz,Oceanía,2019,2.0
Cádiz,Oceanía,2018,0.0
Cádiz,Oceanía,2017,0.0
Cádiz,Oceanía,2016,7.0
Cádiz,Oceanía,2015,1.0
Cádiz,Oceanía,2014,0.0
Cádiz,Oceanía,2013,3.0
Córdoba,Total,2019,5734.0
Córdoba,Total,2018,5750.0
Córdoba,Total,2017,5377.0
Córdoba,Total,2016,5119.0
Córdoba,Total,2015,3730.0
Córdoba,Total,2014,3596.0
Córdoba,Total,2013,3969.0
Córdoba,España,2019,5269.0
Córdoba,España,2018,5247.0
Córdoba,España,2017,5027.0
Córdoba,España,2016,4646.0
Córdoba,España,2015,3436.0
Córdoba,España,2014,3276.0
Córdoba,España,2013,3615.0
Córdoba,Unión Europea,2019,168.0
Córdoba,Unión Europea,2018,217.0
Córdoba,Unión Europea,2017,162.0
Córdoba,Unión Europea,2016,263.0
Córdoba,Unión Europea,2015,115.0
Córdoba,Unión Europea,2014,158.0
Córdoba,Unión Europea,2013,165.0
Córdoba,Resto de Europa,2019,26.0
Córdoba,Resto de Europa,2018,22.0
Córdoba,Resto de Europa,2017,16.0
Córdoba,Resto de Europa,2016,29.0
Córdoba,Resto de Europa,2015,15.0
Córdoba,Resto de Europa,2014,18.0
Córdoba,Resto de Europa,2013,8.0
Córdoba,África,2019,133.0
Córdoba,África,2018,103.0
Córdoba,África,2017,94.0
Córdoba,África,2016,98.0
Córdoba,África,2015,72.0
Córdoba,África,2014,57.0
Córdoba,África,2013,77.0
Córdoba,América,2019,135.0
Córdoba,América,2018,151.0
Córdoba,América,2017,70.0
Córdoba,América,2016,74.0
Córdoba,América,2015,81.0
Córdoba,América,2014,76.0
Córdoba,América,2013,96.0
Córdoba,Asia,2019,3.0
Córdoba,Asia,2018,10.0
Córdoba,Asia,2017,8.0
Córdoba,Asia,2016,9.0
Córdoba,Asia,2015,11.0
Córdoba,Asia,2014,10.0
Córdoba,Asia,2013,5.0
Córdoba,Oceanía,2019,0.0
Córdoba,Oceanía,2018,0.0
Córdoba,Oceanía,2017,0.0
Córdoba,Oceanía,2016,0.0
Córdoba,Oceanía,2015,0.0
Córdoba,Oceanía,2014,0.0
Córdoba,Oceanía,2013,3.0
Granada,Total,2019,8229.0
Granada,Total,2018,8363.0
Granada,Total,2017,7941.0
Granada,Total,2016,7710.0
Granada,Total,2015,5931.0
Granada,Total,2014,5593.0
Granada,Total,2013,5236.0
Granada,España,2019,7087.0
Granada,España,2018,7269.0
Granada,España,2017,6960.0
Granada,España,2016,6747.0
Granada,España,2015,5161.0
Granada,España,2014,4857.0
Granada,España,2013,4498.0
Granada,Unión Europea,2019,390.0
Granada,Unión Europea,2018,369.0
Granada,Unión Europea,2017,348.0
Granada,Unión Europea,2016,336.0
Granada,Unión Europea,2015,281.0
Granada,Unión Europea,2014,271.0
Granada,Unión Europea,2013,261.0
Granada,Resto de Europa,2019,38.0
Granada,Resto de Europa,2018,49.0
Granada,Resto de Europa,2017,30.0
Granada,Resto de Europa,2016,31.0
Granada,Resto de Europa,2015,15.0
Granada,Resto de Europa,2014,18.0
Granada,Resto de Europa,2013,19.0
Granada,África,2019,453.0
Granada,África,2018,398.0
Granada,África,2017,363.0
Granada,África,2016,340.0
Granada,África,2015,228.0
Granada,África,2014,229.0
Granada,África,2013,234.0
Granada,América,2019,236.0
Granada,América,2018,235.0
Granada,América,2017,215.0
Granada,América,2016,230.0
Granada,América,2015,224.0
Granada,América,2014,202.0
Granada,América,2013,207.0
Granada,Asia,2019,25.0
Granada,Asia,2018,44.0
Granada,Asia,2017,25.0
Granada,Asia,2016,26.0
Granada,Asia,2015,22.0
Granada,Asia,2014,16.0
Granada,Asia,2013,15.0
Granada,Oceanía,2019,0.0
Granada,Oceanía,2018,0.0
Granada,Oceanía,2017,0.0
Granada,Oceanía,2016,0.0
Granada,Oceanía,2015,0.0
Granada,Oceanía,2014,1.0
Granada,Oceanía,2013,2.0
Huelva,Total,2019,4455.0
Huelva,Total,2018,5171.0
Huelva,Total,2017,4736.0
Huelva,Total,2016,4255.0
Huelva,Total,2015,3638.0
Huelva,Total,2014,3563.0
Huelva,Total,2013,3638.0
Huelva,España,2019,3730.0
Huelva,España,2018,4443.0
Huelva,España,2017,4071.0
Huelva,España,2016,3668.0
Huelva,España,2015,3140.0
Huelva,España,2014,3010.0
Huelva,España,2013,3023.0
Huelva,Unión Europea,2019,324.0
Huelva,Unión Europea,2018,360.0
Huelva,Unión Europea,2017,414.0
Huelva,Unión Europea,2016,360.0
Huelva,Unión Europea,2015,235.0
Huelva,Unión Europea,2014,301.0
Huelva,Unión Europea,2013,331.0
Huelva,Resto de Europa,2019,20.0
Huelva,Resto de Europa,2018,7.0
Huelva,Resto de Europa,2017,24.0
Huelva,Resto de Europa,2016,7.0
Huelva,Resto de Europa,2015,18.0
Huelva,Resto de Europa,2014,7.0
Huelva,Resto de Europa,2013,25.0
Huelva,África,2019,280.0
Huelva,África,2018,285.0
Huelva,África,2017,168.0
Huelva,África,2016,167.0
Huelva,África,2015,163.0
Huelva,África,2014,160.0
Huelva,África,2013,179.0
Huelva,América,2019,93.0
Huelva,América,2018,68.0
Huelva,América,2017,54.0
Huelva,América,2016,48.0
Huelva,América,2015,71.0
Huelva,América,2014,81.0
Huelva,América,2013,65.0
Huelva,Asia,2019,8.0
Huelva,Asia,2018,8.0
Huelva,Asia,2017,5.0
Huelva,Asia,2016,5.0
Huelva,Asia,2015,11.0
Huelva,Asia,2014,5.0
Huelva,Asia,2013,13.0
Huelva,Oceanía,2019,0.0
Huelva,Oceanía,2018,0.0
Huelva,Oceanía,2017,0.0
Huelva,Oceanía,2016,0.0
Huelva,Oceanía,2015,0.0
Huelva,Oceanía,2014,0.0
Huelva,Oceanía,2013,1.0
Jaén,Total,2019,5247.0
Jaén,Total,2018,5587.0
Jaén,Total,2017,5521.0
Jaén,Total,2016,5062.0
Jaén,Total,2015,4181.0
Jaén,Total,2014,3667.0
Jaén,Total,2013,3938.0
Jaén,España,2019,4966.0
Jaén,España,2018,5274.0
Jaén,España,2017,5212.0
Jaén,España,2016,4732.0
Jaén,España,2015,3913.0
Jaén,España,2014,3358.0
Jaén,España,2013,3659.0
Jaén,Unión Europea,2019,91.0
Jaén,Unión Europea,2018,123.0
Jaén,Unión Europea,2017,109.0
Jaén,Unión Europea,2016,137.0
Jaén,Unión Europea,2015,73.0
Jaén,Unión Europea,2014,101.0
Jaén,Unión Europea,2013,112.0
Jaén,Resto de Europa,2019,10.0
Jaén,Resto de Europa,2018,5.0
Jaén,Resto de Europa,2017,4.0
Jaén,Resto de Europa,2016,10.0
Jaén,Resto de Europa,2015,1.0
Jaén,Resto de Europa,2014,4.0
Jaén,Resto de Europa,2013,5.0
Jaén,África,2019,99.0
Jaén,África,2018,117.0
Jaén,África,2017,111.0
Jaén,África,2016,115.0
Jaén,África,2015,109.0
Jaén,África,2014,119.0
Jaén,África,2013,68.0
Jaén,América,2019,76.0
Jaén,América,2018,61.0
Jaén,América,2017,76.0
Jaén,América,2016,62.0
Jaén,América,2015,78.0
Jaén,América,2014,75.0
Jaén,América,2013,75.0
Jaén,Asia,2019,5.0
Jaén,Asia,2018,7.0
Jaén,Asia,2017,8.0
Jaén,Asia,2016,6.0
Jaén,Asia,2015,8.0
Jaén,Asia,2014,10.0
Jaén,Asia,2013,19.0
Jaén,Oceanía,2019,0.0
Jaén,Oceanía,2018,0.0
Jaén,Oceanía,2017,0.0
Jaén,Oceanía,2016,0.0
Jaén,Oceanía,2015,0.0
Jaén,Oceanía,2014,0.0
Jaén,Oceanía,2013,0.0
Málaga,Total,2019,15808.0
Málaga,Total,2018,15689.0
Málaga,Total,2017,15277.0
Málaga,Total,2016,14306.0
Málaga,Total,2015,11105.0
Málaga,Total,2014,10700.0
Málaga,Total,2013,11095.0
Málaga,España,2019,12057.0
Málaga,España,2018,12136.0
Málaga,España,2017,11902.0
Málaga,España,2016,11093.0
Málaga,España,2015,8459.0
Málaga,España,2014,8220.0
Málaga,España,2013,8517.0
Málaga,Unión Europea,2019,1670.0
Málaga,Unión Europea,2018,1588.0
Málaga,Unión Europea,2017,1493.0
Málaga,Unión Europea,2016,1472.0
Málaga,Unión Europea,2015,1275.0
Málaga,Unión Europea,2014,1051.0
Málaga,Unión Europea,2013,1073.0
Málaga,Resto de Europa,2019,306.0
Málaga,Resto de Europa,2018,325.0
Málaga,Resto de Europa,2017,271.0
Málaga,Resto de Europa,2016,259.0
Málaga,Resto de Europa,2015,175.0
Málaga,Resto de Europa,2014,206.0
Málaga,Resto de Europa,2013,138.0
Málaga,África,2019,999.0
Málaga,África,2018,886.0
Málaga,África,2017,853.0
Málaga,África,2016,804.0
Málaga,África,2015,625.0
Málaga,África,2014,649.0
Málaga,África,2013,728.0
Málaga,América,2019,617.0
Málaga,América,2018,605.0
Málaga,América,2017,597.0
Málaga,América,2016,538.0
Málaga,América,2015,479.0
Málaga,América,2014,485.0
Málaga,América,2013,567.0
Málaga,Asia,2019,155.0
Málaga,Asia,2018,146.0
Málaga,Asia,2017,157.0
Málaga,Asia,2016,135.0
Málaga,Asia,2015,92.0
Málaga,Asia,2014,88.0
Málaga,Asia,2013,71.0
Málaga,Oceanía,2019,4.0
Málaga,Oceanía,2018,3.0
Málaga,Oceanía,2017,3.0
Málaga,Oceanía,2016,5.0
Málaga,Oceanía,2015,0.0
Málaga,Oceanía,2014,1.0
Málaga,Oceanía,2013,2.0
Sevilla,Total,2019,18433.0
Sevilla,Total,2018,18113.0
Sevilla,Total,2017,17347.0
Sevilla,Total,2016,15637.0
Sevilla,Total,2015,12175.0
Sevilla,Total,2014,11430.0
Sevilla,Total,2013,11585.0
Sevilla,España,2019,17002.0
Sevilla,España,2018,16730.0
Sevilla,España,2017,16084.0
Sevilla,España,2016,14481.0
Sevilla,España,2015,11177.0
Sevilla,España,2014,10417.0
Sevilla,España,2013,10455.0
Sevilla,Unión Europea,2019,531.0
Sevilla,Unión Europea,2018,451.0
Sevilla,Unión Europea,2017,495.0
Sevilla,Unión Europea,2016,424.0
Sevilla,Unión Europea,2015,335.0
Sevilla,Unión Europea,2014,302.0
Sevilla,Unión Europea,2013,345.0
Sevilla,Resto de Europa,2019,65.0
Sevilla,Resto de Europa,2018,52.0
Sevilla,Resto de Europa,2017,54.0
Sevilla,Resto de Europa,2016,45.0
Sevilla,Resto de Europa,2015,94.0
Sevilla,Resto de Europa,2014,40.0
Sevilla,Resto de Europa,2013,31.0
Sevilla,África,2019,358.0
Sevilla,África,2018,387.0
Sevilla,África,2017,315.0
Sevilla,África,2016,293.0
Sevilla,África,2015,240.0
Sevilla,África,2014,292.0
Sevilla,África,2013,261.0
Sevilla,América,2019,393.0
Sevilla,América,2018,438.0
Sevilla,América,2017,361.0
Sevilla,América,2016,360.0
Sevilla,América,2015,305.0
Sevilla,América,2014,345.0
Sevilla,América,2013,430.0
Sevilla,Asia,2019,84.0
Sevilla,Asia,2018,54.0
Sevilla,Asia,2017,38.0
Sevilla,Asia,2016,34.0
Sevilla,Asia,2015,25.0
Sevilla,Asia,2014,33.0
Sevilla,Asia,2013,58.0
Sevilla,Oceanía,2019,0.0
Sevilla,Oceanía,2018,0.0
Sevilla,Oceanía,2017,0.0
Sevilla,Oceanía,2016,0.0
Sevilla,Oceanía,2015,0.0
Sevilla,Oceanía,2014,1.0
Sevilla,Oceanía,2013,5.0
