,Sexo,Municipios,País de nacimiento,Total,Año
0,Ambos sexos,Almería,Europa,419,1998
1,Ambos sexos,Almería,Europa,435,1999
2,Ambos sexos,Almería,Europa,483,2000
3,Ambos sexos,Almería,Europa,634,2001
4,Ambos sexos,Almería,Total Unión Europea,563.0,2002
5,Ambos sexos,Almería,Total Europa,3109.0,2004
6,Ambos sexos,Almería,Total Europa,4035,2005
7,Ambos sexos,Almería,Total Europa,4873.0,2006
8,Ambos sexos,Almería,Total Europa,5711.0,2007
9,Ambos sexos,Almería,Total Europa,6515.0,2008
10,Ambos sexos,Almería,Total Europa,7275.0,2009
11,Ambos sexos,Almería,Total Europa,7690.0,2010
12,Ambos sexos,Almería,Total Europa,7817.0,2011
13,Ambos sexos,Almería,Total Europa,8023.0,2012
14,Ambos sexos,Almería,Total Europa,8203.0,2013
15,Ambos sexos,Almería,Total Europa,7574.0,2014
16,Ambos sexos,Almería,Total Europa,7530.0,2015
17,Ambos sexos,Almería,Total Europa,6537.0,2016
18,Ambos sexos,Almería,Total Europa,6117.0,2017
19,Ambos sexos,Almería,Total Europa,6068.0,2018
20,Ambos sexos,Almería,Total Europa,5982.0,2019
21,Ambos sexos,Algeciras,Europa,277,1998
22,Ambos sexos,Algeciras,Europa,340,1999
23,Ambos sexos,Algeciras,Europa,410,2000
24,Ambos sexos,Algeciras,Europa,345,2001
25,Ambos sexos,Algeciras,Total Unión Europea,419.0,2002
26,Ambos sexos,Algeciras,Total Europa,1558.0,2004
27,Ambos sexos,Algeciras,Total Europa,1702.0,2005
28,Ambos sexos,Algeciras,Total Europa,1860.0,2006
29,Ambos sexos,Algeciras,Total Europa,2037.0,2007
30,Ambos sexos,Algeciras,Total Europa,2293.0,2008
31,Ambos sexos,Algeciras,Total Europa,2412.0,2009
32,Ambos sexos,Algeciras,Total Europa,2465.0,2010
33,Ambos sexos,Algeciras,Total Europa,2539.0,2011
34,Ambos sexos,Algeciras,Total Europa,2552.0,2012
35,Ambos sexos,Algeciras,Total Europa,2270.0,2013
36,Ambos sexos,Algeciras,Total Europa,2206.0,2014
37,Ambos sexos,Algeciras,Total Europa,2204.0,2015
38,Ambos sexos,Algeciras,Total Europa,2206.0,2016
39,Ambos sexos,Algeciras,Total Europa,2205.0,2017
40,Ambos sexos,Algeciras,Total Europa,2191.0,2018
41,Ambos sexos,Algeciras,Total Europa,2135.0,2019
42,Ambos sexos,Cádiz,Europa,101,1998
43,Ambos sexos,Cádiz,Europa,144,1999
44,Ambos sexos,Cádiz,Europa,162,2000
45,Ambos sexos,Cádiz,Europa,177,2001
46,Ambos sexos,Cádiz,Total Unión Europea,184.0,2002
47,Ambos sexos,Cádiz,Total Europa,692.0,2004
48,Ambos sexos,Cádiz,Total Europa,806.0,2005
49,Ambos sexos,Cádiz,Total Europa,919.0,2006
50,Ambos sexos,Cádiz,Total Europa,968.0,2007
51,Ambos sexos,Cádiz,Total Europa,1050.0,2008
52,Ambos sexos,Cádiz,Total Europa,1107.0,2009
53,Ambos sexos,Cádiz,Total Europa,1168.0,2010
54,Ambos sexos,Cádiz,Total Europa,1224.0,2011
55,Ambos sexos,Cádiz,Total Europa,1257.0,2012
56,Ambos sexos,Cádiz,Total Europa,1317.0,2013
57,Ambos sexos,Cádiz,Total Europa,1256.0,2014
58,Ambos sexos,Cádiz,Total Europa,1192.0,2015
59,Ambos sexos,Cádiz,Total Europa,1062.0,2016
60,Ambos sexos,Cádiz,Total Europa,1054.0,2017
61,Ambos sexos,Cádiz,Total Europa,1105.0,2018
62,Ambos sexos,Cádiz,Total Europa,1161.0,2019
63,Ambos sexos,Jerez de la Frontera,Europa,183,1998
64,Ambos sexos,Jerez de la Frontera,Europa,214,1999
65,Ambos sexos,Jerez de la Frontera,Europa,255,2000
66,Ambos sexos,Jerez de la Frontera,Europa,313,2001
67,Ambos sexos,Jerez de la Frontera,Total Unión Europea,324.0,2002
68,Ambos sexos,Jerez de la Frontera,Total Europa,1182.0,2004
69,Ambos sexos,Jerez de la Frontera,Total Europa,1410.0,2005
70,Ambos sexos,Jerez de la Frontera,Total Europa,1668.0,2006
71,Ambos sexos,Jerez de la Frontera,Total Europa,1926.0,2007
72,Ambos sexos,Jerez de la Frontera,Total Europa,2188.0,2008
73,Ambos sexos,Jerez de la Frontera,Total Europa,2348.0,2009
74,Ambos sexos,Jerez de la Frontera,Total Europa,2417.0,2010
75,Ambos sexos,Jerez de la Frontera,Total Europa,2585.0,2011
76,Ambos sexos,Jerez de la Frontera,Total Europa,2701.0,2012
77,Ambos sexos,Jerez de la Frontera,Total Europa,2276.0,2013
78,Ambos sexos,Jerez de la Frontera,Total Europa,2155.0,2014
79,Ambos sexos,Jerez de la Frontera,Total Europa,2250.0,2015
80,Ambos sexos,Jerez de la Frontera,Total Europa,2244.0,2016
81,Ambos sexos,Jerez de la Frontera,Total Europa,2271.0,2017
82,Ambos sexos,Jerez de la Frontera,Total Europa,2296.0,2018
83,Ambos sexos,Jerez de la Frontera,Total Europa,2349.0,2019
84,Ambos sexos,Córdoba,Europa,303,1998
85,Ambos sexos,Córdoba,Europa,372,1999
86,Ambos sexos,Córdoba,Europa,411,2000
87,Ambos sexos,Córdoba,Europa,448,2001
88,Ambos sexos,Córdoba,Total Unión Europea,432.0,2002
89,Ambos sexos,Córdoba,Total Europa,2399.0,2004
90,Ambos sexos,Córdoba,Total Europa,2658.0,2005
91,Ambos sexos,Córdoba,Total Europa,2985.0,2006
92,Ambos sexos,Córdoba,Total Europa,3256.0,2007
93,Ambos sexos,Córdoba,Total Europa,3650.0,2008
94,Ambos sexos,Córdoba,Total Europa,3909.0,2009
95,Ambos sexos,Córdoba,Total Europa,4091.0,2010
96,Ambos sexos,Córdoba,Total Europa,4331.0,2011
97,Ambos sexos,Córdoba,Total Europa,4481.0,2012
98,Ambos sexos,Córdoba,Total Europa,4641.0,2013
99,Ambos sexos,Córdoba,Total Europa,4460.0,2014
100,Ambos sexos,Córdoba,Total Europa,4022.0,2015
101,Ambos sexos,Córdoba,Total Europa,4081.0,2016
102,Ambos sexos,Córdoba,Total Europa,4141.0,2017
103,Ambos sexos,Córdoba,Total Europa,4266.0,2018
104,Ambos sexos,Córdoba,Total Europa,4291.0,2019
105,Ambos sexos,Granada,Europa,634,1998
106,Ambos sexos,Granada,Europa,760,1999
107,Ambos sexos,Granada,Europa,845,2000
108,Ambos sexos,Granada,Europa,996,2001
109,Ambos sexos,Granada,Total Unión Europea,974.0,2002
110,Ambos sexos,Granada,Total Europa,3433.0,2004
111,Ambos sexos,Granada,Total Europa,3710.0,2005
112,Ambos sexos,Granada,Total Europa,4128.0,2006
113,Ambos sexos,Granada,Total Europa,4425.0,2007
114,Ambos sexos,Granada,Total Europa,5053.0,2008
115,Ambos sexos,Granada,Total Europa,5197.0,2009
116,Ambos sexos,Granada,Total Europa,5593.0,2010
117,Ambos sexos,Granada,Total Europa,5849.0,2011
118,Ambos sexos,Granada,Total Europa,6112.0,2012
119,Ambos sexos,Granada,Total Europa,5228.0,2013
120,Ambos sexos,Granada,Total Europa,5132.0,2014
121,Ambos sexos,Granada,Total Europa,5003.0,2015
122,Ambos sexos,Granada,Total Europa,4882.0,2016
123,Ambos sexos,Granada,Total Europa,4734.0,2017
124,Ambos sexos,Granada,Total Europa,4712.0,2018
125,Ambos sexos,Granada,Total Europa,4798.0,2019
126,Ambos sexos,Huelva,Europa,138,1998
127,Ambos sexos,Huelva,Europa,167,1999
128,Ambos sexos,Huelva,Europa,253,2000
129,Ambos sexos,Huelva,Europa,432,2001
130,Ambos sexos,Huelva,Total Unión Europea,270,2002
131,Ambos sexos,Huelva,Total Europa,1922.0,2004
132,Ambos sexos,Huelva,Total Europa,2161.0,2005
133,Ambos sexos,Huelva,Total Europa,2387.0,2006
134,Ambos sexos,Huelva,Total Europa,2822.0,2007
135,Ambos sexos,Huelva,Total Europa,3628.0,2008
136,Ambos sexos,Huelva,Total Europa,3778.0,2009
137,Ambos sexos,Huelva,Total Europa,3967.0,2010
138,Ambos sexos,Huelva,Total Europa,4186.0,2011
139,Ambos sexos,Huelva,Total Europa,4308.0,2012
140,Ambos sexos,Huelva,Total Europa,4276.0,2013
141,Ambos sexos,Huelva,Total Europa,3897.0,2014
142,Ambos sexos,Huelva,Total Europa,3635.0,2015
143,Ambos sexos,Huelva,Total Europa,3426.0,2016
144,Ambos sexos,Huelva,Total Europa,3235.0,2017
145,Ambos sexos,Huelva,Total Europa,3166.0,2018
146,Ambos sexos,Huelva,Total Europa,3143.0,2019
147,Ambos sexos,Jaén,Europa,65,1998
148,Ambos sexos,Jaén,Europa,95,1999
149,Ambos sexos,Jaén,Europa,109,2000
150,Ambos sexos,Jaén,Europa,161,2001
151,Ambos sexos,Jaén,Total Unión Europea,119,2002
152,Ambos sexos,Jaén,Total Europa,735.0,2006
153,Ambos sexos,Jaén,Total Europa,762.0,2007
154,Ambos sexos,Jaén,Total Europa,930.0,2008
155,Ambos sexos,Jaén,Total Europa,957.0,2009
156,Ambos sexos,Jaén,Total Europa,911.0,2010
157,Ambos sexos,Jaén,Total Europa,815.0,2011
158,Ambos sexos,Jaén,Total Europa,819.0,2012
159,Ambos sexos,Jaén,Total Europa,809.0,2013
160,Ambos sexos,Jaén,Total Europa,785.0,2014
161,Ambos sexos,Jaén,Total Europa,807.0,2015
162,Ambos sexos,Jaén,Total Europa,760.0,2016
163,Ambos sexos,Jaén,Total Europa,775.0,2017
164,Ambos sexos,Jaén,Total Europa,768.0,2018
165,Ambos sexos,Jaén,Total Europa,773.0,2019
166,Ambos sexos,Málaga,Europa,1992,1998
167,Ambos sexos,Málaga,Europa,2132,1999
168,Ambos sexos,Málaga,Europa,2439,2000
169,Ambos sexos,Málaga,Europa,3017,2001
170,Ambos sexos,Málaga,Total Unión Europea,2881.0,2002
171,Ambos sexos,Málaga,Total Europa,10389.0,2004
172,Ambos sexos,Málaga,Total Europa,12587.0,2005
173,Ambos sexos,Málaga,Total Europa,13570.0,2006
174,Ambos sexos,Málaga,Total Europa,14998.0,2007
175,Ambos sexos,Málaga,Total Europa,17090.0,2008
176,Ambos sexos,Málaga,Total Europa,17676.0,2009
177,Ambos sexos,Málaga,Total Europa,18304.0,2010
178,Ambos sexos,Málaga,Total Europa,19115.0,2011
179,Ambos sexos,Málaga,Total Europa,20105.0,2012
180,Ambos sexos,Málaga,Total Europa,20799.0,2013
181,Ambos sexos,Málaga,Total Europa,19236.0,2014
182,Ambos sexos,Málaga,Total Europa,19275.0,2015
183,Ambos sexos,Málaga,Total Europa,18018.0,2016
184,Ambos sexos,Málaga,Total Europa,18017.0,2017
185,Ambos sexos,Málaga,Total Europa,18241.0,2018
186,Ambos sexos,Málaga,Total Europa,19065.0,2019
187,Ambos sexos,Marbella,Europa,7187,1998
188,Ambos sexos,Marbella,Europa,7599,1999
189,Ambos sexos,Marbella,Europa,8905,2000
190,Ambos sexos,Marbella,Europa,9938,2001
191,Ambos sexos,Marbella,Total Unión Europea,10024.0,2002
192,Ambos sexos,Marbella,Total Europa,10084.0,2004
193,Ambos sexos,Marbella,Total Europa,12095.0,2005
194,Ambos sexos,Marbella,Total Europa,13509.0,2006
195,Ambos sexos,Marbella,Total Europa,14587.0,2007
196,Ambos sexos,Marbella,Total Europa,16257.0,2008
197,Ambos sexos,Marbella,Total Europa,17426.0,2009
198,Ambos sexos,Marbella,Total Europa,18339.0,2010
199,Ambos sexos,Marbella,Total Europa,19617.0,2011
200,Ambos sexos,Marbella,Total Europa,20811.0,2012
201,Ambos sexos,Marbella,Total Europa,21525.0,2013
202,Ambos sexos,Marbella,Total Europa,18150.0,2014
203,Ambos sexos,Marbella,Total Europa,18259.0,2015
204,Ambos sexos,Marbella,Total Europa,17939.0,2016
205,Ambos sexos,Marbella,Total Europa,17247.0,2017
206,Ambos sexos,Marbella,Total Europa,17127.0,2018
207,Ambos sexos,Marbella,Total Europa,17761.0,2019
208,Ambos sexos,Dos Hermanas,Europa,177,1998
209,Ambos sexos,Dos Hermanas,Europa,188,1999
210,Ambos sexos,Dos Hermanas,Europa,222,2000
211,Ambos sexos,Dos Hermanas,Europa,306,2001
212,Ambos sexos,Dos Hermanas,Total Unión Europea,221.0,2002
213,Ambos sexos,Dos Hermanas,Total Europa,1134.0,2004
214,Ambos sexos,Dos Hermanas,Total Europa,1266.0,2005
215,Ambos sexos,Dos Hermanas,Total Europa,1394.0,2006
216,Ambos sexos,Dos Hermanas,Total Europa,1478.0,2007
217,Ambos sexos,Dos Hermanas,Total Europa,1658.0,2008
218,Ambos sexos,Dos Hermanas,Total Europa,1746.0,2009
219,Ambos sexos,Dos Hermanas,Total Europa,1831.0,2010
220,Ambos sexos,Dos Hermanas,Total Europa,1865.0,2011
221,Ambos sexos,Dos Hermanas,Total Europa,1929.0,2012
222,Ambos sexos,Dos Hermanas,Total Europa,2001.0,2013
223,Ambos sexos,Dos Hermanas,Total Europa,1909.0,2014
224,Ambos sexos,Dos Hermanas,Total Europa,1886.0,2015
225,Ambos sexos,Dos Hermanas,Total Europa,1787.0,2016
226,Ambos sexos,Dos Hermanas,Total Europa,1753.0,2017
227,Ambos sexos,Dos Hermanas,Total Europa,1770.0,2018
228,Ambos sexos,Dos Hermanas,Total Europa,1795.0,2019
229,Ambos sexos,Dos Hermanas,Total Asia,368.0,2019
230,Ambos sexos,Sevilla,Europa,1696,1998
231,Ambos sexos,Sevilla,Europa,1803,1999
232,Ambos sexos,Sevilla,Europa,1941,2000
233,Ambos sexos,Sevilla,Europa,2338,2001
234,Ambos sexos,Sevilla,Total Unión Europea,2031.0,2002
235,Ambos sexos,Sevilla,Total Europa,7282.0,2004
236,Ambos sexos,Sevilla,Total Europa,8093.0,2005
237,Ambos sexos,Sevilla,Total Europa,9417.0,2006
238,Ambos sexos,Sevilla,Total Europa,10425.0,2007
239,Ambos sexos,Sevilla,Total Europa,12057.0,2008
240,Ambos sexos,Sevilla,Total Europa,12850.0,2009
241,Ambos sexos,Sevilla,Total Europa,13306.0,2010
242,Ambos sexos,Sevilla,Total Europa,13780.0,2011
243,Ambos sexos,Sevilla,Total Europa,14773.0,2012
244,Ambos sexos,Sevilla,Total Europa,15126.0,2013
245,Ambos sexos,Sevilla,Total Europa,13667.0,2014
246,Ambos sexos,Sevilla,Total Europa,13262.0,2015
247,Ambos sexos,Sevilla,Total Europa,12107.0,2016
248,Ambos sexos,Sevilla,Total Europa,12170.0,2017
249,Ambos sexos,Sevilla,Total Europa,12113.0,2018
250,Ambos sexos,Sevilla,Total Europa,12208.0,2019
251,Ambos sexos,Sevilla,Total Asia,4961.0,2019
